no,nama,vote_average,vote_count,type,htm_weekday,htm_weekend,latitude,longitude,description
43,Fort Vredeburg Museum,"4,6",15281,Budaya dan Sejarah,3000,3000,"-7,8002016","110,3663044","Letak Benteng Vredeburg Yogyakarta di kawasan nol kilometer pusat Kota Yogyakarta menjadikan sebuah daya tarik bagi para wisatawan. Dalam pelayanannya kepada masyarakat, museum Benteng Vredeburg tidak lepas dari unsur-unsur pendidikan karena pada dasarnya museum memiliki dua fungsi yaitu sebagai rekreasi sekaligus tempat pendidikan. Informasi tentang keBudaya dan Sejarahan, kebudayaan dan nilai-nilai luhur kejuangan disampaikan kepada generasi muda dalam nuansa edutainment, yang berasal dari kata education dan entertainment. Demikianlah, Benteng Vredeburg yang sekarang menjadi Museum Benteng Vredeburg Yogyakarta telah melekat dengan Kota Yogyakarta. Latar belakang Budaya dan Sejarah Kota Yogyakarta baik sebagai ibukota Kasultanan Yogyakarta dan ibukota NKRI tidak dapat dipisahkan dengan Budaya dan Sejarah Benteng Vredeburg Yogyakarta. Pelestarian Benteng Vredeburg sebagai museum bukan berarti pengagungan simbol kejayaan kolonial. Akan tetapi tujuannya untuk mendapatkan fungsi baru yang dapat memberikan informasi dan aspirasi perjuangan nasional bagi generasi mendatang."
13,Museum Benteng Vredeburg,"4,6",15279,Budaya dan Sejarah,3000,3000,"-7,799287456","110,3661757","Benteng Vredeburg merupakan salah satu museum peninggalan Belanda yang sangat terkenal di Jogja karena di museum ini memiliki nilai cerita yang cukup panjang dan masih bertahan hingga saat ini. Museum Benteng Vredeburg mengoleksi berbagai macam karya seni, berbagai macam patung, dan berbagai macam senjata peninggalan Belanda."
121,Sindu Kusuma Edupark (SKE),"4,2",14072,Buatan,20000,20000,"-7,7672973","110,3542486","Sindu Kusuma Edupark merupakan wahana bermain berbasis edukasi dan hiburan untuk semua usia yang buka paling pagi dan tutup paling malam di Jogjakarta. Destinasi wisata ini menyuguhkan sebuah tempat bermain bagi keluarga yang lengkap dengan berbagai wahana permainan yang seru dan juga menantang. Wahana-wahana seperti Kora-Kora, Bianglala, Waterpark, dan Light Festival menjadi wahana terfavorit bagi para wisatawan. Selain itu tersedia juga restoran berkonsep Industrial Fun Cafe dengan harga yang murah dan terjangkau cocok untuk anda sekeluarga. Semua transaksi di Sindu Kusuma Edupark ini menggunakan kartu khusus yang bisa diperoleh di loket tiket, jadi tidak repot lagi mengeluarkan uang tunai. Selain wahana permainan, di SKE ini juga ada beberapa foto spot yang cukup bagus untuk dijadikan background foto."
90,Tugu,"4,8",13330,Budaya dan Sejarah,0,0,"-7,7828822","110,3670514","Tugu ini sekarang merupakan salah satu objek pariwisata Yogyakarta, dan sering dikenal dengan istilah “Tugu Pal Putih” (pal juga berarti tugu), karena warna cat yang digunakan sejak dulu adalah warna putih. Tugu pal ini berbentuk bulat panjang dengan bola kecil dan ujung yang runcing di bagian atasnya. Jika dilihat dari Keraton Yogyakarta ke arah utara, maka akan terlihat bahwa Jalan Malioboro, Jalan Margo Utomo, Tugu Yogyakarta, dan Jalan A.M. Sangadji membentuk garis lurus menuju puncak Gunung Merapi yang dikenal sebagai Garis Imajiner Yogyakarta."
26,Heha Sky View,"4,4",13048,Buatan,10000,10000,"-7,848530311","110,4787102","Salah satu destinasi wisata favorit yang menawarkan pemandangan terbaik kota Yogyakarta dan sekitarnya “dari lantai 2”. Terletak di kawasan perbukitan Gunungkidul, HeHa Sky View hanya berjarak 40 menit dari pusat Kota Yogyakarta. Sky Ballon yang dibuat colorful menjadi salah satu wahana yang wajib dicoba. disini terdapat street food yang beraneka ragam dan dapat dinikmati sembari duduk dan mengobrol di bean bag ataupun outdoor area. banyak spot foto keren."
395,Pantai Goa Cemara,"4,3",12755,Pantai,4000,4000,"-7,999423","110,248963","Adalah Kawasan Wisata Terpadu, satu pintu dengan pembagian area yang jelas. Public area memang seperti diutamakan di pantai ini. Jajaran pedagang lokal berpadu dengan ramainya pasar tradisional. Dengan area cakupan luas meliputi wilayah konservasi penyu hijau, wilayah lahan pertanian, daerah wisata, dan pelestarian hutan cemara. Pasar tradisional, wisata pantai, outbond, camping ground, ruang pertemuan, atv, jip wisata offroad gumukpasir, kuliner, dan cinderamata. Dengan dukungan fasilitas publik yang lengkap dan terus berkembang. Fasilitas publik seperti MCK, kantor sekretariat, kantor keamanan, posko SAR, rumah ibadah, pos kesehatan juga tersedia."
347,XT Square,"4,3",12396,Buatan,25000,25000,"-7,8165658","110,3866908","XT-Square merupakan kawasan yang  dibangun dengan konsep terpadu yang ditawarkan kepada masyarakat dalam satu paket pusat wisata belanja, yakni what to see, what to eat, dan what  to buy. Didesain sebagai ruang publik dengan konsep citywalk,  didukung dengan area kuliner serta area pertunjukan seni semakin menunjang aktifitas wisata belanja yang nyaman dan menyenangkan, XT-Square dibangun untuk kepuasan pengunjung."
21,Kaliadem,"4,5",12338,"Alam, Budaya dan Sejarah",3000,3000,"-7,582047728","110,4476387","Bunker Kaliadaem merupakan tempat untuk berlindung dari ganasnya Gunung Merapi. tempat ini menyimpan banyak jejak ganasnya Gunung merapi. di bunker kaliadem terdapat pintu utama yang terbuat dari baja setebal 15 cm, ruangan bungker yang masih memiliki sisa-sisa material merapi, dan bagian atas yang dilapisi batu serta pasir vulkanis"
344,Monumen Yogya Kembali,"4,5",11302,Museum,15000,15000,"-7,7495904","110,3696068","Museum Monumen Jogja Kembali adalah sebuah museum Budaya dan Sejarah perjuangan kemerdekaan Republik Indonesia yang ada di kota Yogyakarta dan dikelola oleh Departemen Kebudayaan dan Pariwisata. Museum yang berada di bagian utara kota ini banyak dikunjungi oleh para pelajar dalam acara darmawisata. Museum Monumen dengan bentuk kerucut ini terdiri dari 3 lantai dan dilengkapi dengan ruang perpustakaan serta ruang serbaguna. Pada rana pintu masuk dituliskan sejumlah 422 nama pahlawan yang gugur di daerah Wehrkreise III (RIS) antara tanggal 19 Desember 1948 sampai dengan 29 Juni 1949. Dalam 4 ruang museum di lantai 1 terdapat benda-benda koleksi: realia, replika, foto, dokumen, heraldika, berbagai jenis senjata, bentuk evokatif dapur umum dalam suasana perang kemerdekaan 1945-1949. Tandu dan dokar (kereta kuda) yang pernah dipergunakan oleh Panglima Besar Jenderal Soedirman juga disimpan di sini (di ruang museum nomor 2). Monumen Jogja kembali beralamat Di jalan raya Ring road Utara Sleman Yogyakarta"
249,Ratu Boko,"4,6",11176,Budaya dan Sejarah,40000,40000,"-7,7705416","110,4894158","Istana Ratu Boko adalah sebuah bangunan megah yang dibangun pada masa pemerintahan Rakai Panangkaran, salah satu keturunan Wangsa Syailendra. Istana yang awalnya bernama Abhayagiri Vihara (berarti biara di bukit yang penuh kedamaian) ini didirikan untuk tempat menyepi dan memfokuskan diri pada kehidupan spiritual. Berada di istana ini, anda bisa merasakan kedamaian sekaligus melihat pemandangan kota Yogyakarta dan Candi Prambanan dengan latar Gunung Merapi."
368,Depok Beach,"4,3",10820,Pantai,10000,10000,"-8,0137087","110,2914777","Pantai Depok yang letaknya hanya 1,5 km dari Parangtritis ini memang terkenal di kalangan wisatawan lokal. Selain karena keindahan pantainya, wisata pantai Yogyakarta yang satu ini juga terkenal dengan aneka menu seafood yang rasanya mampu menggoyang lidah. Tidak heran, hampir seluruh warga yang tinggal di sekitar pantai ini berprofesi sebagai nelayan. Itulah kenapa hidangan laut yang diolah di tempat ini sangat istimewa. Sebab memang semua ikan dan seafood yang ada di sini memang masih segar ketika diolah."
45,Central Museum of the Air Force Dirgantara Mandala,"4,5",9828,Museum,3000,3000,"-7,7899338","110,4156788","Museum Pusat TNI AU “Dirgantara Mandala” adalah museum yang digagas oleh TNI Angkatan Udara untuk mengabadikan peristiwa berBudaya dan Sejarah dalam lingkungan TNI AU, bermarkas di kompleks Pangkalan Udara Adi Sutjipto, Yogyakarta. Museum ini sebelumnya berada berada di Jalan Tanah Abang Bukit, Jakarta dan diresmikan pada 4 April 1969 oleh Panglima AU Laksamana Roesmin Noerjadin lalu dipindahkan ke Yogyakarta pada 29 Juli 1978. "
12,Masjid Gedhe Kauman,"4,8",9784,Budaya dan Sejarah,10000,10000,"-7,802697521","110,3625956","Masjid Gedhe Kauman dibangun oleh Sri Sultan Hamengku Buwono I bersama Kyai Faqih Ibrahim Diponingrat (penghulu kraton pertama) dan Kyai Wiryokusumo sebagai arsiteknya. Masjid ini dibangun pada hari Ahad Wage, 29 Mei 1773 M atau 6 Rabi'ulakhir 1187 H. Masjid Gedhe Kauman merupakan tempat untuk beribadah, namun masjid ini juga menjadi tempat wisata yang cukup terkenal. Meskipun demikian, fungsi utama masjid sebagai tempat ibadah masih terjaga dengan sangat baik lengkap dengan semua fasilitas yang diperlukan."
5,Bukit Paralayang Watugupit,"4,7",9614,"Alam, Petualangan, Pantai",5000,5000,"-8,026589501","110,3458478","Seperti namanya, bukit ini digunakan sebagai tempat untuk landasan pacu olahraga paralayang. Para profesional banyak yang berlatih di sini. Bahkan, orang awam pun dapat mencoba paralayang karena terdapat instruktur yang akan mendampingi."
371,Pantai Drini,"4,5",8969,Pantai,10000,10000,"-8,1384509","110,577522","Pantai Drini merupakan salah satu pantai di deretan pantai selatan Gunungkidul yang banyak direkomendasikan. Pantai ini dijuluki sebagai ‘Pantai Perawan’ karena kondisi pantai ini masih bersih dengan suasana yang masih alami. Udara tempat wisata ini sejuk, aliran airnya tenang, dan pasir putihnya begitu mempesona."
19,Pantai Parangtritis,"4,5",8727,Pantai,6000,6000,"-8,024608","110,3298045","Pantai Parangtritis merupakan salah satu ikon di Kabupaten Bantul. Pantai ini memiliki pasir hitam. Di pantai ini dapat bermain ATV, menaiki kuda. Di sisi utara timur pantai dapat menemukan bukit kecil yang sangat cocok untuk menikmati pemandangan sore hari ditemani angin. pantai ini memiliki cerita misteri di dalamnya."
353,Embung Tambakboyo,"4,4",8564,Buatan,2000,2000,"-7,756227","110,4150131","Waduk Tambakboyo Kabupaten Sleman Daerah Istimewa Yogyakarta ini dibangun pada tahun 2003 dan selesai tahun 2008. Pembangunan yang memakan waktu lima tahun ini memang sudah diperhitungkan dengan matang. Pada mulanya embung atau waduk ini dibangun sebagai tempat penampungan air untuk cadangan warga Sleman. Namun seiring dengan berjalannya waktu, Embung Tambakboyo menjadi salah satu wisata alam gratis yang banyak peminatnya."
464,Lava Merapi and Alien Stone,"4,5",8111,Alam,350000,350000,"-7,6023375","110,4552585","Lava Tour Merapi bisa menjadi pilihan aktivitas wisata ketika berlibur di Yogyakarta. Lava Tour Merapi adalah istilah untuk tur wisata kawasan terdampak erupsi Gunung Merapi tahun 2010. Tur yang dimaksud saat ini merupakan tur menggunakan mobil jenis jeep. Kegiatan tur meliputi kunjungan ke sejumlah titik yang terkena dampak langsung erupsi. Lava tour Merapi ditawarkan sebagai aneka pilihan paket wisata. Paket-paket ini dibanderol dengan harga yang beragam. Setiap paket sudah termasuk tiket masuk untuk sejumlah titik pemberhentian. Paket wisata ini bisa menampung rombongan, sehingga cocok untuk dijajal sebagai liburan keluarga atau bersama teman."
221,Candi Plaosan,"4,6",7855,Budaya dan Sejarah,3000,3000,"-7,7407807","110,5046772","Candi Plaosan terletak di Desa Bugisan, Kecamatan Prambanan, Kabupaten Klaten, kira-kira 1,5 km ke arah timur dari Candi Sewu. Candi ini merupakan sebuah kompleks bangunan kuno yang terbagi menjadi dua, yaitu kompleks Candi Plaosan Lor (lor dalam bahasa Jawa berarti utara) dan kompleks Candi Plaosan Kidul (kidul dalam bahasa Jawa berarti selatan). Pahatan yang terdapat di Candi Plaosan sangat halus dan rinci, mirip dengan yang terdapat di Candi Borobudur, Candi Sewu, dan Candi Sari. Candi Plaosan yang merupakan candi Buddha ini oleh para ahli diperkirakan dibangun pada masa pemerintahan Rakai Pikatan dari Kerajaan Mataram Hindu, yaitu pada awal abad ke-9 M. Salah satu pakar yang mendukung pendapat itu adalah De Casparis yang berpegang pada isi Prasasti Cri Kahulunan (842 M). Dalam prasasti tersebut dinyatakan bahwa Candi Plaosan Lor dibangun oleh Ratu Sri Kahulunan, dengan dukungan suaminya. Menurut De Casparis, Sri Kahulunan adalah gelar Pramodhawardani, putri Raja Samarattungga dari Wangsa Syailendra. Sang Putri, yang memeluk agama Buddha, menikah dengan Rakai Pikatan dari Wangsa Sanjaya, yang memeluk agama Hindu."
466,Agro Tourism Bhumi Merapi,"4,5",7697,Agrowisata,30000,30000,"-7,6400756","110,4264098","Agrowisata Bhumi Merapi Yogyakarta. Tempat wisata yang terletak di daerah Kaliurang ini menawarkan wisata edukasi bagi para pengunjungnya. Dibangun pada tahun 2015 dengan luas 5,2 hektar. Tempat wisata ini menawarkan konsep pertanian, perkebunan, dan peternakan. Jadi, selain liburan para pengunjung pun bisa mendapatkan banyak ilmu. Suasananya yang sejuk dan nyaman juga membuat para pengunjung betah berlama-lama disana. Berbagai aktivitas wisata bisa dilakukan di tempat wisata ini. Utamanya kegiatan-kegiatan yang berhubungan dengan pertanian, peternakan dan perkebunan. Berikut beberapa diantaranya. Identik dengan wisata edukasi, taman rekreasi ini menyediakan tempat belajar budidaya hewan bagi para pengunjungnya. Diantaranya kambing dan kelinci. Kambing yang dipelajari adalah jenis kambing Ettawa. Kegiatan yang dilakukan diantaranya adalah memerah susu kambing, memberikan susu dot bagi anak kambing, mengolah susu untuk dijadikan yogurt dan ice cream,  pengolahan pakan ternak, dan pengolahan kotoran kambing menjadi pupuk organik dan biogas. Sedangkan kelinci yang ada disini adalah kelinci hias dan kelinci pedaging. Dan pengunjung juga bisa memberi makan kepada kelinci. Selain itu, ada juga binatang berjenis reptile yang dipelihara disini seperti ular, kura-kura, dan reptile lainnya yang dapat digunakan sebagai sarana edukasi."
171,Wisata Kalibiru,"4,4",6912,Alam,10000,10000,"-7,8057305","110,127969","Wisata Kalibiru terletak pada ketinggian 450 mdpl, yang kini telah menjadi hutan wisata nan subur. Dengan perbukitan yang ditumbuhi oleh berbagai pepohonan, seperti cemara, jati, dan kayu putih. Tempat wisata ini terletak di pedesaan, tak heran jika banyak dijumpai rumah berarsitektur Jawa kuno. Rumah – rumah ini difungsikan sebagai kantor pengelola serta loket tiket masuk. Setelah itu, pengunjung harus melakukan trekking di hutan untuk dapat menuju spot utama. Di sini, telah disediakan jalan setapak sehingga pengunjung tinggal mengikuti arah jalan tersebut. Di sepanjang perjalanan, pengunjung akan menemukan berbagai jenis vegetasi. Mulai dari semak – semak hingga pepohonan berbatang kayu yang bercabang – cabang. Selain itu, ada juga tanaman anggrek yang seolah bersembunyi di rimbunnya pepohonan."
52,De Mata Trick Eye Museum,"4,4",6855,"Buatan, Museum",40000,40000,"-7,8163156","110,3871442","Berawal dari keinginan bahwa Indonesia tidak boleh kalah dengan negara lain dalam bidang pariwisata, Direktur Utama PT. Demata Maris Indonesia, yaitu Bapak Petrus FX Kusuma mendapatkan inspirasi untuk mengadaptasi konsep tempat wisata dari luar negeri agar dapat dibawa ke Indonesia. Bertujuan agar masyarakat di Indonesia dapat mengunjungi tempat serupa namun tidak sama yang tetap lekat dengan unsur edukatif, inovatif, dan entertaining. Ditawarkan dengan harga tiket masuk yang low cost-highly entertaining, sehingga memberikan kesempatan terhadap semua kalangan untuk dapat berwisata. Dengan adanya beberapa tempat wisata yang sudah ada dan yang akan dibangun oleh PT. Demata Maris Indonesia tidak hanya merupakan sebuah cita-cita dan mimpi yang terwujud namun juga sebuah bisnis yang potensial yang memberikan kesempatan kepada seluruh masyarakat Indonesia untuk berwisata dengan harga tiket yang murah"
16,Candi Sambisari,"4,6",6238,Budaya dan Sejarah,5000,5000,"-7,762491","110,4470374","Candi Sambisari adalah Candi Hindu yang berada di Purwomartani, Kalasan, Sleman, Daerah Istimewa Yogyakarta. Posisinya kira-kira berada 12 kilometer (km) di sebelah timur kota Yogyakarta ke arah kota Solo. Lokasi candinya pun cukup unik, yaitu terletak kira-kira 6,5 meter lebih rendah dari permukaan tanah di sekitarnya. Oleh karena itu, jika hendak masuk ke dalam kompleks candi kamu harus berjalanan kaki menuruni puluhan anak tangga yang cukup curam sehingga kamu harus berhati-hati. Jika kamu berada di kawasan sekitar candi, yang kamu lihat hanyalah atap candi yang sedikit menyembul di permukaan tanah."
391,Pantai Wediombo,"4,5",6072,Pantai,5000,5000,"-8,1902176","110,7103772","Daya tarik pantai ini terletak di gugusan karangnya. Sepanjang bibir pantai, Wedi Ombo dihiasi hamparan karang. Bebatuan ini membuat Wedi Ombo bagaikan taman karang yang luas. Selain itu, lautnya yang tenang membuat lokasinya cocok untuk bersantai. Pantai Wedi Ombo berada di pinggiran teluk. Pantai ini menghadap ke barat dengan garis pantai nyaris lurus. Ini membuat angin laut yang menerpa tidak sekencang pantai lainnya. Sehingga, lautnya pun cenderung lebih tenang."
366,Pantai Parangkusumo,"4,4",5887,Pantai,3000,3000,"-8,022769","110,324995","Pantai Parangkusumo merupakan salah satu pantai yang dianggap sakral oleh penduduk setempat. Masyarakat Jogja meyakini adanya hubungan spesial antara Keraton Jogja dengan Nyi Roro Kidul, penguasa pantai selatan. Dalam tradisi Jawa, Pantai Parangkusumo dianggap sebagai gerbang utama atau jalan menuju Keraton Gaib Laut Selatan, kerajaan Nyi Roro Kidul. Karena itu, tak heran jika Pantai Parangkusumo kerap menjadi tujuan peziarah saat bulan Sura dalam kalender penanggalan Jawa. Begitu pun pada hari-hari biasa, pengunjung akan meramaikan pantai saat malam Selasa Kliwon dan Jumat Kliwon. Meski kental dengan nuansa mistis dan legenda, Pantai Parangkusumo juga menawarkan pemandangan yang tak kalah indah dari pantai lain di Jogja. Di sini, kamu akan melihat tumbuhan sejenis kelapa sawit berjejer di bagian belakang pantai yang menciptakan kesan asri."
170,Taman Sungai Mudal,"4,6",5499,Alam,10000,10000,"-7,7628136","110,1161626","Taman Sungai Mudal, sebuah objek wisata alam terbuka yang terletak di Kabupaten Kulon Progo, yang menawarkan pesona sebuah kolam pemandian yang bersumber dari mata air alami. Mata airnya bersumber dari sebuah goa, sehingga kehadiran Taman Sungai Mudal menjadi mengesampingkan kesan angker dari sebuah goa. Apalagi ditambah dengan dukungan fasilitas yang membuat para wisatawan merasa nyaman saat berada di sana."
131,Taman Pelangi Jogja,"4,3",5459,Buatan,15000,20000,"-7,7505259","110,3687049","Kalau pelangi biasanya ada di siang hari pasca hujan, maka di Taman Pelangi Yogyakarta pengunjung justru bisa menikmatinya setiap malam hari. Ya, ini lantaran taman ini merupakan Taman Lampion beraneka warna dan rupa. Pengunjung bisa mengarahkan diri ke deretan lampion yang berbentuk flora dan fauna. Ada juga lampion berbentuk tokoh kartun disney dan kartun jepang, dinosaurus, naga, serta kehidupan bawah laut yang sangat menarik perhatian terutama anak-anak. Tak meninggalkan Budaya dan Sejarah, ada juga lampion yang berbentuk wajah para tokoh pemimpin bangsa. Buka sejak petang, Taman ini memang sangat cocok dijadikan pilihan destinasi rekreasi keluarga saat malam hari."
96,Situs Warungboto,"4,4",5392,Budaya dan Sejarah,,,"-7,8102685","110,3931513","Situs Warungboto merupakan petilasan yang dibangun pada masa pemerintahan Sultan Hamengkubuwono I. Kemudian, pembangunannya diteruskan pada masa pemerintahan Sultan Hamengkubuwono II. Dulunya, tempat ini khusus dijadikan sebagai tempat pemandian. Dikarenakan adanya sumber mata air di lokasi tersebut. Situs Warungboto berada di tengah Kota Jogja, tepatnya di Umbulharjo. Objek wisata ini merupakan peninggalan berBudaya dan Sejarah yang dulu dibangun oleh keluarga keraton. Saat ini, area situs telah dibersihkan dan direnovasi sehingga dapat dikunjungi wisatawan. Tentunya tempat ini begitu menarik karena bangunannya yang unik dan instagramable."
373,Pantai Cemara Sewu Bantul Yogyakarta,"4,4",5372,Pantai,10000,10000,"-8,019114","110,3145616","Jika anda mencari suasana nyaman dan ketenangan, maka pantai ini lah juaranya. Seperti namanya yang berarti pantai seribu cemara, maka begitu anda tiba di area pantai anda akan langsung disambut dengan pohon cemara. Pohon cemara menjadi ikon penting bagi pantai ini. Berbeda dengan pantai-pantai lain yang akan semakin panas jika hari semakin siang. Di Pantai Cemoro Sewu suasana teduh akan bisa selalu anda rasakan walaupun matahari sangat menyengat sekalipun. Gazebo-gazebo yang berdiri rapi di antara pepohonan cemara yang rimbun membuat pengunjung semakin betah untuk bersantai di sana. Apalagi jika semakin sore angin pantai akan semakin semilir menambah sejuk suasana."
460,Bukit Klangon,"4,5",5280,Alam,5000,5000,"-7,5768966","110,4548266",Di bukit Klangon kita akan disuguhkan pemandangan luar biasa dari Gunung Merapi. Kita bisa melihat gunung berapi aktif ini dengan jarak yang begitu dekat. Kita tak perlu mendaki hingga puncaknya karena di Bukit Klangon ini kita sudah bisa melihat puncak Gunung Merapi dengan cukup jelas. Di sini terdapat beberapa gardu pandang yang bisa kita gunakan untuk melihat eksotisme alam sekitar bukit. Gardu pandang ini juga biasa menjadi spot foto jadi jangan sampai anda melupakan kamera anda untuk berburu pemandangan yang instagenic.
36,Taman Wisata Kaliurang,"4,4",5217,Alam,8000,8000,"-7,598797","110,42636","Taman Wisata Kaliurang dapat menjadi referensi wisata akhir pekan keluarga. Pemandangan sekitar sangatlah indah, masih banyak pepohonan yang tumbuh tinggi menjulang. Ditambah lagi pemandangan puncak Gunung Merapi yang gagah. Selain itu, udara di sekitar pun masih sangat sejuk. Aroma asap kendaraan bermotor pun tidak tercium di kawasan ini. Berada di sini membuat paru – paru menjadi lebih sehat. Banyak wisatawan yang datang bersama keluarga. Duduk santai beralaskan tikar di atas rerumputan sambil bercengkerama dengan keluarga. Ditambah lagi, suasana yang sangat mendukung untuk beramah – tamah. Selain menyuguhkan pemandangan yang indah, Taman Wisata Kaliurang pun memiliki wahana outbound. Seperti flying fox hingga rumah pohon Ridz High Rope."
